|-------------------------------------------------------------------------------------------------------------------------------------------|
| Start | End   | Category | Who             | Title                      | Notes                                                           |
|-------------------------------------------------------------------------------------------------------------------------------------------|
| 10:00 | 14:00 | Schedule |                 | Getting Ready              |                                                                 |
| 14:00 | 15:30 | Schedule |                 | Pre-Wedding Photos         |                                                                 |
| 15:30 | 16:00 | Schedule |                 | Guests Arrive              |                                                                 |
| 16:00 | 16:15 | Schedule |                 | Blessing Ceromony          |                                                                 |
| 16:15 | 17:15 | Schedule |                 | Canapies & Guest Photos    |                                                                 |
| 17:15 | 18:00 | Schedule |                 | Wedding Ceromony           |                                                                 |
| 18:00 | 23:00 | Schedule |                 | Reception                  |                                                                 |
| 10:00 | 12:30 | Bride    | BPM,HMU         | Hair and Make-up start     | Michelle to Confirm start time with Pete. Must finish by 12:30  |
| 12:30 | 12:45 | Bride    | BPM             | Room tidy                  | Room tidied, dress hung, details laid out                       |
| 12:45 | 13:00 | Bride    | BPM             | Relax                      | Champagne & snacks                                              |
| 13:00 | 13:55 | Bride    | BPM,P&V         | Bride Getting Ready Photos | Photographer arrives! (shortened by 30 mins)                    |
| 13:55 | 14:30 | B&G      | BPM,BPT,P&V     | Photosheet Marina          | Was 14:30                                                       |
| 14:30 | 16:00 | B&G      | BPM,BPT,P&V,N&C | Yacht Photo Shoot          | (1 1/2 hrs on boat)                                             |
| 16:00 | 16:15 | B&G      | BPM,BPT,P&V,N&C | Wedding Procession         |                                                                 |
| 15:55 | 16:15 | MC       | MC,BPE          | Blessing Coordination      | Help get the crowd organised, let them know what to do          |
| 16:30 | 17:00 | B&G      | ALL             | Group Photo's              |                                                                 |
| 17:00 | 17:15 | B&G      | BPT,CEL         | Ceremony Setup             |                                                                 |
| 17:15 | 17:20 | B&G      | BPE,BPM,FOB     | Down the isle              | Flower girls & Pages, brides maides, Bride and FOB              |
| 17:20 | 17:25 | B&G      |                 | Celebrant stuff            |                                                                 |
| 17:25 | 17:35 | B&G      |                 | Celestrial Bodies          | 17:20 - Moon-rise, 17:30 ~ Moon Visible, 17:35 - Sun-set        |
| 17:35 | 17:45 | B&G      |                 | Celebrant stuff            |                                                                 |
| 17:45 | 17:46 | B&G      |                 | Sparkeler Exit             |                                                                 |
| 18:00 | 18:45 | Music    | BND             | Band Set 1 - Dinner        |                                                                 |
| 18:30 | 17:50 | B&G      |                 | Dinner                     |                                                                 |
| 19:20 | 19:50 | B&G      | MC              | Speeches                   | Best Man, Maid of Honour, FoB, PoG, Groom                       | 
| 19:50 | 19:55 | B&G      |                 | Bouque Throw               |                                                                 |
| 20:00 | 20:25 | B&G      |                 | First Dance                |                                                                 |
| 20:25 | 21:00 | MC       |                 | Ily Goes to Bed            |                                                                 |
| 20:25 | 21:50 | Music    | BND             | Band Set 2 - Pump up jams  |                                                                 |
| 20:25 | 21:50 | Photos   |                 | Photobombs + Guest Photos  | Photo bombs on the dance floor, get photos of all the guests    |
| 20:50 | 21:00 | B&G      |                 | Cake Cutting               |                                                                 |
| 20:55 | 21:00 | Photos   |                 | Photographers leave        |                                                                 |
| 21:10 | 21:55 | Music    | BND             | Band Set 3 - groves        |                                                                 |
| 21:55 | 22:00 | B&G      |                 | Garter Throw               |                                                                 |
| 22:10 | 22:15 | B&G      |                 | Father Daughter Dance      |                                                                 |
| 22:15 | 22:55 | Music    | BND             | Band Set 4 - wind down     |                                                                 |
| 22:30 | 22:35 | B&G      |                 |  Bride & Groom Send Off    |                                                                 |
| 22:25 | 23:00 |          |                 | Hard Stop                  | Kick out the straggelers                                        |
|-------------------------------------------------------------------------------------------------------------------------------------------|

# Who:
#  - BPM - Bridal Party - Michelle
#  - BPT - Bridal Party - Tim
#  - BPE - Bridal Party Extras - (Flower girls,pages)
#  - P&V - Photographer & Videogrpaher
#  - HMU - Make-up Artist
#  - BND - Wedding Band
#  - SOL - Soloist
#  - N&C - Nate & Charlotte
#  - MCR - MC (Rob)
#  - CEL - Celebrant
#  - FOB - Father of the bride
